origLate,gaNum,orig,docID,groupID,primaryName,lang,userID,v11n,origEarly,shelfInstances.shelfInstance.instCountry,shelfInstances.shelfInstance.shelfID,shelfInstances.shelfInstance.originYearDescription,shelfInstances.shelfInstance.instURL,shelfInstances.shelfInstance.instPlace,shelfInstances.shelfInstance.instNameCustom,shelfInstances.shelfInstance.instID,shelfInstances.shelfInstance.leavesDescription,shelfInstances.shelfInstance.formerGANumber,shelfInstances.shelfInstance.shelfNumber,shelfInstances.shelfInstance.instLogoURL,shelfInstances.shelfInstance.instName,shelfInstances.shelfInstance.instGeoLocator,shelfInstances.shelfInstance.contentOverview,shelfInstances
1599.0,1381.0,"XVI",31381.0,"",1381.0,"g","","",1500.0,"Location unknown",6456.0,"XVI","","Location unknown","",0.0,286.0,"","(früher: St. Nicholas Monastery, Andros 2)","","Zuletzt: Greece","","e:MtJ",
1399.0,1382.0,"XIV",31382.0,"",1382.0,"g","","",1300.0,"Greece",1682.0,"XIV","","Andros","",0.0,527.0,"",26.0,"","St. Nicholas Monastery ","","eap",
1499.0,1383.0,"XV",31383.0,"",1383.0,"g","","",1400.0,"Greece",1683.0,"XV","https://andros.travel/item/panachrantou-monastery/","Andros","",0.0,250.0,"",11.0,"https://andros.gr/images/themata/monastery2.jpg","Panachrantou Monastery ","","e",
1099.0,1384.0,"XI",31384.0,"",1384.0,"g","","",1000.0,"Greece",1684.0,"XI","https://andros.travel/item/panachrantou-monastery/","Andros","",0.0,296.0,"",13.0,"https://andros.gr/images/themata/monastery2.jpg","Panachrantou Monastery ","","eaprP †",
1199.0,1385.0,"XII",31385.0,"",1385.0,"g","","",1100.0,"Greece",1685.0,"XII","","Patmos","",0.0,304.0,"",274.0,"","St. John the Theologian Monastery","","e",
1199.0,1386.0,"XII",31386.0,"",1386.0,"g","","",1100.0,"Greece",1686.0,"XII","","Patmos","",0.0,233.0,"",276.0,"","St. John the Theologian Monastery","","e",
1599.0,1387.0,"XV/XVI",31387.0,"",1387.0,"g","","",1400.0,"Greece",1687.0,"XV/XVI","","Patmos","",0.0,378.0,"",360.0,"","St. John the Theologian Monastery","","eK †",
1499.0,1388.0,"XV",31388.0,"",1388.0,"g","","",1400.0,"Greece",1688.0,"XV","","Patmos","",0.0,167.0,"",698.0,"","St. John the Theologian Monastery","","e",
1499.0,1389.0,"XV",31389.0,"",1389.0,"g","","",1400.0,"Greece",1689.0,"XV","","Patmos","",0.0,254.0,"",699.0,"","St. John the Theologian Monastery","","e",
1399.0,1390.0,"XIV",31390.0,"",1390.0,"g","","",1300.0,"Greece",1690.0,"XIV","https://orthodoxwiki.org/Stavronikita_Monastery_(Athos)","Athos","",0.0,294.0,"",45.0,"http://ntmss.info/instlogos/Stavronikita.jpg","Stavronikita Monastery","","eap",
1299.0,1391.0,"XIII",31391.0,"",1391.0,"g","","",1200.0,"Greece",1691.0,"XIII","http://www.mountathos.gr/active.aspx?mode=en{58c89da4-f6e0-4e21-8c4b-70308d98a2c1}View","Athos","",0.0,251.0,"",34.0,"http://ntmss.info/instlogos/Pantokrator.jpg","Pantokratoros Monastery","","e",
999.0,1392.0,"X",31392.0,"",1392.0,"g","","",900.0,"Greece",1692.0,"X","http://www.mountathos.gr/active.aspx?mode=en{58c89da4-f6e0-4e21-8c4b-70308d98a2c1}View","Athos","",0.0,328.0,"",39.0,"http://ntmss.info/instlogos/Pantokrator.jpg","Pantokratoros Monastery","","eK",
1199.0,1393.0,"XII",31393.0,"",1393.0,"g","","",1100.0,"Greece",1693.0,"XII","http://www.mountathos.gr/active.aspx?mode=en{58c89da4-f6e0-4e21-8c4b-70308d98a2c1}View","Athos","",0.0,88.0,"",45.0,"http://ntmss.info/instlogos/Pantokrator.jpg","Pantokratoros Monastery","","e",
1301.0,1394.0,1301.0,31394.0,"",1394.0,"g","","",1301.0,"Greece",1694.0,"XIV","http://www.mountathos.gr/active.aspx?mode=en{58c89da4-f6e0-4e21-8c4b-70308d98a2c1}View","Athos","",0.0,334.0,"",47.0,"http://ntmss.info/instlogos/Pantokrator.jpg","Pantokratoros Monastery","","e",
1366.0,1395.0,1366.0,31395.0,"",1395.0,"g","","",1366.0,"Canada",6531.0,1366.0,"","Toronto","",0.0,374.0,"","s.n.","","Borowski Collection","","e",
1399.0,1396.0,"XIV",31396.0,"",1396.0,"g","","",1300.0,"Greece",1696.0,"XIV","http://www.mountathos.gr/active.aspx?mode=en{58c89da4-f6e0-4e21-8c4b-70308d98a2c1}View","Athos","",0.0,271.0,"",51.0,"http://ntmss.info/instlogos/Pantokrator.jpg","Pantokratoros Monastery","","e",
1399.0,1397.0,"XIV",31397.0,"",1397.0,,,,,"Greece",5661.0,"XIV","http://www.mountathos.gr/active.aspx?mode=en{58c89da4-f6e0-4e21-8c4b-70308d98a2c1}View","Athos","",0.0,284.0,"",52.0,"http://ntmss.info/instlogos/Pantokrator.jpg","Pantokratoros Monastery","","e",
1399.0,1397.0,"XIV",31397.0,"",1397.0,,,,,"USA",5662.0,"XIV","","Princeton, NJ","",0.0,2.0,"","y1956-118","","Princeton University The Art Museum","","e",
1399.0,1397.0,"XIV",31397.0,"",1397.0,"g","","",1300.0,,,,,,,,,,,,,,,
1299.0,1398.0,"XIII",31398.0,"",1398.0,"g","","",1200.0,"Greece",1697.0,"XIII","http://www.mountathos.gr/active.aspx?mode=en{58c89da4-f6e0-4e21-8c4b-70308d98a2c1}View","Athos","",0.0,276.0,"",56.0,"http://ntmss.info/instlogos/Pantokrator.jpg","Pantokratoros Monastery","","eap †",
1299.0,1399.0,"XIII",31399.0,"",1399.0,"g","","",1200.0,"Greece",1698.0,"XIII","http://www.mountathos.gr/active.aspx?mode=en{58c89da4-f6e0-4e21-8c4b-70308d98a2c1}View","Athos","",0.0,159.0,"",57.0,"http://ntmss.info/instlogos/Pantokrator.jpg","Pantokratoros Monastery","","e †",
1299.0,1400.0,"XIII",31400.0,"",1400.0,"g","","",1200.0,"Greece",1699.0,"XIII","http://www.mountathos.gr/active.aspx?mode=en{58c89da4-f6e0-4e21-8c4b-70308d98a2c1}View","Athos","",0.0,374.0,"",58.0,"http://ntmss.info/instlogos/Pantokrator.jpg","Pantokratoros Monastery","","eap",
1199.0,1401.0,"XII",31401.0,"",1401.0,"g","","",1100.0,"Greece",1700.0,"XII","http://www.mountathos.gr/active.aspx?mode=en{58c89da4-f6e0-4e21-8c4b-70308d98a2c1}View","Athos","",0.0,220.0,"",59.0,"http://ntmss.info/instlogos/Pantokrator.jpg","Pantokratoros Monastery","","e †",
1199.0,1402.0,"XII",31402.0,"",1402.0,"g","","",1100.0,"Greece",1701.0,"XII","http://www.mountathos.gr/active.aspx?mode=en{58c89da4-f6e0-4e21-8c4b-70308d98a2c1}View","Athos","",0.0,235.0,"",60.0,"http://ntmss.info/instlogos/Pantokrator.jpg","Pantokratoros Monastery","","e",
1399.0,1403.0,"1300?",31403.0,"",1403.0,"g","","",1300.0,"Greece",1702.0,"XIV","http://www.mountathos.gr/active.aspx?mode=en{58c89da4-f6e0-4e21-8c4b-70308d98a2c1}View","Athos","",0.0,163.0,"",62.0,"http://ntmss.info/instlogos/Pantokrator.jpg","Pantokratoros Monastery","","e",
1299.0,1404.0,"XIII",31404.0,"",1404.0,"g","","",1200.0,"Greece",1703.0,"XIII","http://www.mountathos.gr/active.aspx?mode=en{58c89da4-f6e0-4e21-8c4b-70308d98a2c1}View","Athos","",0.0,547.0,"",234.0,"http://ntmss.info/instlogos/Pantokrator.jpg","Pantokratoros Monastery","","eap",
1499.0,1405.0,"XV",31405.0,"",1405.0,"g","","",1400.0,"Greece",1704.0,"XV","http://www.nlg.gr/","Athens","",0.0,273.0,"","EBE 208","","National Library","","ap",
1299.0,1406.0,"XIII",31406.0,"",1406.0,"g","","",1200.0,"Greece",1705.0,"XIII","http://orthodoxwiki.org/Esphigmenou_Monastery_%28Athos%29","Athos","",0.0,183.0,"",207.0,"","Esphigmenou Monastery","","e",
1299.0,1407.0,"XIII",31407.0,"",1407.0,"g","","",1200.0,"Greece",1706.0,"XIII","http://www.monastiria.gr/mount-athos-dochiariou-monastery/?lang=en","Athos","",0.0,249.0,"",43.0,"http://ntmss.info/instlogos/Logo_DochiariouAthos.jpg","Dochiariou Monastery","","e †",
1199.0,1408.0,"XII",31408.0,"",1408.0,"g","","",1100.0,"Greece",1707.0,"XII","http://www.monastiria.gr/mount-athos-dochiariou-monastery/?lang=en","Athos","",0.0,271.0,"",44.0,"http://ntmss.info/instlogos/Logo_DochiariouAthos.jpg","Dochiariou Monastery","","e",
1399.0,1409.0,"XIV",31409.0,"",1409.0,"g","","",1300.0,"Greece",1708.0,"XIV","https://orthodoxwiki.org/Xeropotamou_Monastery_(Athos)","Athos","",0.0,226.0,"",244.0,"https://mountathos-eshop.com/wp-content/uploads/2016/04/Ιερά-Μονή-Ξυροποτάμου-14.jpg","Xeropotamou Monastery","","eap †",
1399.0,1410.0,"XIV",31410.0,"",1410.0,"g","","",1300.0,"Greece",1709.0,"XIV","http://www.nlg.gr/","Athens","",0.0,274.0,"","EBE 92","","National Library","","e",
1099.0,1411.0,"XI",31411.0,"",1411.0,"g","","",1000.0,"Greece",1710.0,"XI","http://www.nlg.gr/","Athens","",0.0,163.0,"","EBE 95","","National Library","","ePK †:  LJ",
999.0,1412.0,"X",31412.0,"",1412.0,"g","","",900.0,"Greece",1711.0,"X","http://www.nlg.gr/","Athens","",0.0,224.0,"","EBE 98","","National Library","","ePK: MtJ",
1099.0,1413.0,"XI",31413.0,"",1413.0,"g","","",1000.0,"Greece",1712.0,"XI","http://www.nlg.gr/","Athens","",0.0,232.0,"","EBE 113","","National Library","","e",
1599.0,1414.0,"XVI",31414.0,"",1414.0,"g","","",1500.0,"Greece",1713.0,"XVI","http://www.nlg.gr/","Athens","",0.0,288.0,"","EBE 120","","National Library","","e †",
1145.0,1415.0,1145.0,31415.0,"",1415.0,"g","","",1145.0,"Greece",1714.0,"XII","http://www.nlg.gr/","Athens","",0.0,202.0,"","EBE 123","","National Library","","e",
1199.0,1416.0,"XII",31416.0,"",1416.0,"g","","",1100.0,"Greece",1715.0,"XII","http://www.nlg.gr/","Athens","",0.0,181.0,"","EBE 128","","National Library","","e",
999.0,1417.0,"X",31417.0,"",1417.0,"g","","",900.0,"Greece",1716.0,"X","http://www.nlg.gr/","Athens","",0.0,220.0,"","EBE 132","","National Library","","eP †: MtMcL",
1199.0,1418.0,"XII",31418.0,"",1418.0,"g","","",1100.0,"Greece",1717.0,"XII","http://www.nlg.gr/","Athens","",0.0,150.0,"","EBE 135","","National Library","","e",
1499.0,1419.0,"XV",31419.0,"",1419.0,"g","","",1400.0,"Greece",1718.0,"XV","http://www.nlg.gr/","Athens","",0.0,244.0,"","EBE 139, fol. 1-244","","National Library","","eK †",
1299.0,1420.0,"XIII",31420.0,"",1420.0,,,,,"Switzerland",5663.0,"XIII","http://www.ub.unibas.ch/","Basel","",0.0,69.0,"","AN IV 5a","http://ntmss.info/instlogos/BaselUB.gif","Universitätsbibliothek","","eP †: MtMcL",
1299.0,1420.0,"XIII",31420.0,"",1420.0,,,,,"Russia",5664.0,"XIII","","St. Petersburg","",0.0,2.0,"","Hist. Inst. 44/669","","Russian Academy of Science Historical Institute","","eP †: MtMcL",
1299.0,1420.0,"XIII",31420.0,"",1420.0,"g","","",1200.0,,,,,,,,,,,,,,,
999.0,1421.0,"X",31421.0,"",1421.0,"g","","",900.0,"Norway",1719.0,"X","http://www.schoyencollection.com/","Oslo/London","",0.0,285.0,"","MS 675","http://ntmss.info/instlogos/Schoyen.jpg","The Schøyen Collection","","e",
1099.0,1422.0,"X/XI",31422.0,"",1422.0,"g","","",900.0,"Czech Republic",6733.0,"x/xI","http://www.en.nkp.cz","Prague","",0.0,385.0,"","XXV B 7","http://www.en.nkp.cz/++resource++plonetheme.nkp.images/nkp_logo_en.png","National Library of the Czech Republic","","eK",
1099.0,1423.0,"XI",31423.0,"",1423.0,"g","","",1000.0,"USA",6141.0,1050.0,"https://library.duke.edu/rubenstein/","Durham, NC","",0.0,352.0,"","Greek MS 060","","Duke University, David M. Rubenstein Library","","eK",
999.0,1424.0,"IX/X",31424.0,"",1424.0,"g","","",800.0,"Greece",6032.0,"IX/X","","Drama","",0.0,337.0,"","3 (3P)","","Kosinitza Monastery","41.1502273,24.1469489","eapr",
1125.0,1425.0,1125.0,31425.0,"",1425.0,"g","","",1125.0,"Bulgaria",1723.0,"XII","https://www.uni-sofia.bg/index.php/eng/the_university/centres/centre_for_slavo_byzantine_studies_prof_ivan_dujcev","Sofia","",0.0,269.0,"","D. gr. 358","","Ivan Dujcev Center for Slavo-Byzantine Studies","","eap",
999.0,1426.0,"X",31426.0,"",1426.0,"g","","",900.0,"Bulgaria",1724.0,"X","https://www.uni-sofia.bg/index.php/eng/the_university/centres/centre_for_slavo_byzantine_studies_prof_ivan_dujcev","Sofia","",0.0,316.0,"","D. gr. 338","","Ivan Dujcev Center for Slavo-Byzantine Studies","","e",
1399.0,1427.0,"XIV",31427.0,"",1427.0,,,,,"Bulgaria",1725.0,"XIV","https://www.uni-sofia.bg/index.php/eng/the_university/centres/centre_for_slavo_byzantine_studies_prof_ivan_dujcev","Sofia","",0.0,360.0,"","D. gr. 132","","Ivan Dujcev Center for Slavo-Byzantine Studies","","e",
1399.0,1427.0,"XIV",31427.0,"",1427.0,,,,,"USA",6239.0,"XIV","","Los Angeles, CA","",0.0,1.0,"","MS. 70","","The J. Paul Getty Museum","","e",
1399.0,1427.0,"XIV",31427.0,"",1427.0,"g","","",1300.0,,,,,,,,,,,,,,,
1285.0,1428.0,1285.0,31428.0,"",1428.0,,,,,"Bulgaria",1726.0,"XIII","https://www.uni-sofia.bg/index.php/eng/the_university/centres/centre_for_slavo_byzantine_studies_prof_ivan_dujcev","Sofia","",0.0,314.0,"","D. gr. 339","","Ivan Dujcev Center for Slavo-Byzantine Studies","","e",
1285.0,1428.0,1285.0,31428.0,"",1428.0,,,,,"Bulgaria",6587.0,1285.0,"http://www.bas.bg/en/","Sofia","",0.0,1.0,"","gr. 21 (160k/1/257)","","Bulgarian Academy of Sciences","","Lk",
1285.0,1428.0,1285.0,31428.0,"",1428.0,"g","","",1285.0,,,,,,,,,,,,,,,
1099.0,1429.0,"XI",31429.0,"",1429.0,"g","","",1000.0,"Greece",6908.0,"XI","","Drama","",0.0,222.0,"",220.0,"","Kosinitza Monastery","41.1502273,24.1469489","e",
1099.0,1430.0,"XI",31430.0,"",1430.0,"g","","",1000.0,"Location unknown",6457.0,"","","Location unknown","",0.0,"","","(früher Kosintiza Monastery, Drama, 222) Sofia?","","Zuletzt: Greece","","",
1471.0,1431.0,1471.0,31431.0,"",1431.0,"g","","",1471.0,"Bulgaria",1729.0,"XV","https://www.uni-sofia.bg/index.php/eng/the_university/centres/centre_for_slavo_byzantine_studies_prof_ivan_dujcev","Sofia","",0.0,213.0,"","D. gr. 326","","Ivan Dujcev Center for Slavo-Byzantine Studies","","e",
1199.0,1432.0,"XII",31432.0,"",1432.0,"g","","",1100.0,"Germany",1730.0,"XII","http://www.uni-muenster.de/Bibelmuseum/","Münster","",0.0,225.0,"","Ms. 3","https://www.uni-muenster.de/imperia/md/images/bibelmuseum/thumbnail_logo_bibelmuseum_rgb.jpeg","Bibelmuseum","51.9613058,7.6235336","e",
1199.0,1433.0,"XII",31433.0,"",1433.0,"g","","",1100.0,"Greece",1731.0,"XII","","Athos","",0.0,267.0,"","9 (MS destroyed)","","Skete of St. Andrew","","eap †",
1199.0,1434.0,"XII",31434.0,"",1434.0,"g","","",1100.0,"Greece",1732.0,"XII","http://www.monastiria.gr/mount-athos-vatopedi-monastery/?lang=en","Athos","",0.0,167.0,"",886.0,"http://ntmss.info/instlogos/Vatopediu.jpg","Vatopedi Monastery","","e",
1099.0,1435.0,"XI",31435.0,"",1435.0,"g","","",1000.0,"Greece",1733.0,"XI","http://www.monastiria.gr/mount-athos-vatopedi-monastery/?lang=en","Athos","",0.0,404.0,"",937.0,"http://ntmss.info/instlogos/Vatopediu.jpg","Vatopedi Monastery","","e",
1299.0,1436.0,"XIII",31436.0,"",1436.0,"g","","",1200.0,"Greece",1734.0,"XIII","http://www.monastiria.gr/mount-athos-vatopedi-monastery/?lang=en","Athos","",0.0,212.0,"",942.0,"http://ntmss.info/instlogos/Vatopediu.jpg","Vatopedi Monastery","","e",
1199.0,1437.0,"XII",31437.0,"",1437.0,"g","","",1100.0,"Greece",1735.0,"XII","http://www.monastiria.gr/mount-athos-vatopedi-monastery/?lang=en","Athos","",0.0,160.0,"",248.0,"http://ntmss.info/instlogos/Vatopediu.jpg","Vatopedi Monastery","","ePK: L",
1099.0,1438.0,"XI",31438.0,"",1438.0,"g","","",1000.0,"Greece",1736.0,"XI","http://www.monastiria.gr/mount-athos-vatopedi-monastery/?lang=en","Athos","",0.0,340.0,"",960.0,"http://ntmss.info/instlogos/Vatopediu.jpg","Vatopedi Monastery","","e",
1099.0,1439.0,"XI",31439.0,"",1439.0,,,,,"Greece",1737.0,"XI","http://www.mountathos.gr/active.aspx","Athos","",0.0,328.0,"","A' 2","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1099.0,1439.0,"XI",31439.0,"",1439.0,,,,,"United Kingdom",6539.0,"","","London","",0.0,2.0,"","BM 1196a-b","","Robert McCarthy Collection","","miniatures",
1099.0,1439.0,"XI",31439.0,"",1439.0,,,,,"USA",6540.0,"","https://www.metmuseum.org","New York, NY","",0.0,1.0,"","Acc. no. 2001.633","","The Metropolitan Museum of Art","","miniature",
1099.0,1439.0,"XI",31439.0,"",1439.0,"g","","",1000.0,,,,,,,,,,,,,,,
1299.0,1440.0,"XIII",31440.0,"",1440.0,"g","","",1200.0,"Greece",1738.0,"XIII","http://www.mountathos.gr/active.aspx","Athos","",0.0,206.0,"","A' 3","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e †",
1199.0,1441.0,"XII",31441.0,"",1441.0,"g","","",1100.0,"Greece",1739.0,"XII","http://www.mountathos.gr/active.aspx","Athos","",0.0,210.0,"","A' 4","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1299.0,1442.0,"XIII",31442.0,"",1442.0,"g","","",1200.0,"Greece",1740.0,"XIII","http://www.mountathos.gr/active.aspx","Athos","",0.0,301.0,"","A' 5","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1047.0,1443.0,1047.0,31443.0,"",1443.0,"g","","",1047.0,"Greece",1741.0,"XI","http://www.mountathos.gr/active.aspx","Athos","",0.0,308.0,"","A' 6","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1099.0,1444.0,"XI",31444.0,"",1444.0,"g","","",1000.0,"Greece",1742.0,"XI","http://www.mountathos.gr/active.aspx","Athos","",0.0,349.0,"","A' 7","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1323.0,1445.0,1323.0,31445.0,"",1445.0,"g","","",1323.0,"Greece",1743.0,"XIV","http://www.mountathos.gr/active.aspx","Athos","",0.0,278.0,"","A' 8","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1299.0,1446.0,"XIII",31446.0,"",1446.0,"g","","",1200.0,"Greece",1744.0,"XIII","http://www.mountathos.gr/active.aspx","Athos","",0.0,187.0,"","A' 9","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1337.0,1447.0,1337.0,31447.0,"",1447.0,"g","","",1337.0,"Greece",1745.0,"XIV","http://www.mountathos.gr/active.aspx","Athos","",0.0,230.0,"","A' 10","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1199.0,1448.0,"XII",31448.0,"",1448.0,"g","","",1100.0,"Greece",1746.0,"XII","http://www.mountathos.gr/active.aspx","Athos","",0.0,256.0,"","A' 13","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","eap",
1099.0,1449.0,"XI",31449.0,"",1449.0,"g","","",1000.0,"Greece",1747.0,"XI","http://www.mountathos.gr/active.aspx","Athos","",0.0,319.0,"","A' 14","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e †",
1199.0,1450.0,"XII",31450.0,"",1450.0,"g","","",1100.0,"Greece",1748.0,"XII","http://www.mountathos.gr/active.aspx","Athos","",0.0,274.0,"","A' 17","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1299.0,1451.0,"XII/XIII",31451.0,"",1451.0,"g","","",1100.0,"Greece",1749.0,"XII/XIII","http://www.mountathos.gr/active.aspx","Athos","",0.0,254.0,"","A' 18","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e †",
992.0,1452.0,992.0,31452.0,"",1452.0,"g","","",992.0,"Greece",1750.0,"X","http://www.mountathos.gr/active.aspx","Athos","",0.0,266.0,"","A' 19","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1199.0,1453.0,"XII",31453.0,"",1453.0,"g","","",1100.0,"Greece",1751.0,"XII","http://www.mountathos.gr/active.aspx","Athos","",0.0,207.0,"","A' 20","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1199.0,1454.0,"XII",31454.0,"",1454.0,"g","","",1100.0,"Greece",1752.0,"XII","http://www.mountathos.gr/active.aspx","Athos","",0.0,256.0,"","A' 21","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1199.0,1455.0,"XI/XII",31455.0,"",1455.0,"g","","",1000.0,"Greece",1753.0,"XI/XII","http://www.mountathos.gr/active.aspx","Athos","",0.0,283.0,"","A' 22","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1299.0,1456.0,"XIII",31456.0,"",1456.0,"g","","",1200.0,"Greece",1754.0,"XIII","http://www.mountathos.gr/active.aspx","Athos","",0.0,227.0,"","A' 24","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","eap †",
1299.0,1457.0,"XII/XIII",31457.0,"",1457.0,,,,,"Greece",1755.0,"XII/XIII","http://www.mountathos.gr/active.aspx","Athos","",0.0,254.0,"","A' 25","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e †",
1299.0,1457.0,"XII/XIII",31457.0,"",1457.0,,,,,"United Kingdom",6538.0,"","","London","",0.0,1.0,"","BM 1988","","Robert McCarthy Collection","","miniature",
1299.0,1457.0,"XII/XIII",31457.0,"",1457.0,"g","","",1100.0,,,,,,,,,,,,,,,
999.0,1458.0,"X",31458.0,"",1458.0,"g","","",900.0,"Greece",1756.0,"X","http://www.mountathos.gr/active.aspx","Athos","",0.0,323.0,"","A' 26","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1199.0,1459.0,"XII",31459.0,"",1459.0,"g","","",1100.0,"Greece",1757.0,"XII","http://www.mountathos.gr/active.aspx","Athos","",0.0,214.0,"","A' 27","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e †",
1199.0,1460.0,"XII",31460.0,"",1460.0,"g","","",1100.0,"Greece",1758.0,"XII","http://www.mountathos.gr/active.aspx","Athos","",0.0,263.0,"","A' 28","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1299.0,1461.0,"XIII",31461.0,"",1461.0,"g","","",1200.0,"Greece",1759.0,"XIII","http://www.mountathos.gr/active.aspx","Athos","",0.0,332.0,"","A' 29","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1399.0,1462.0,"XIV",31462.0,"",1462.0,"g","","",1300.0,"Greece",1760.0,"XIV","http://www.mountathos.gr/active.aspx","Athos","",0.0,265.0,"","A' 31","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1299.0,1463.0,"XIII",31463.0,"",1463.0,"g","","",1200.0,"Greece",1761.0,"XIII","http://www.mountathos.gr/active.aspx","Athos","",0.0,213.0,"","A' 32","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1299.0,1464.0,"XII/XIII",31464.0,"",1464.0,"g","","",1100.0,"Greece",1762.0,"XII/XIII","http://www.mountathos.gr/active.aspx","Athos","",0.0,292.0,"","A' 33","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1299.0,1465.0,"XIII",31465.0,"",1465.0,"g","","",1200.0,"Greece",1763.0,"XIII","http://www.mountathos.gr/active.aspx","Athos","",0.0,308.0,"","A' 34","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1269.0,1466.0,1269.0,31466.0,"",1466.0,"g","","",1269.0,"Greece",1764.0,"XIII","http://www.mountathos.gr/active.aspx","Athos","",0.0,233.0,"","A' 35","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1399.0,1467.0,"XIV",31467.0,"",1467.0,"g","","",1300.0,"Greece",1765.0,"XIV","http://www.mountathos.gr/active.aspx","Athos","",0.0,343.0,"","A' 36","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1299.0,1468.0,"XIII",31468.0,"",1468.0,"g","","",1200.0,"Greece",1766.0,"XIII","http://www.mountathos.gr/active.aspx","Athos","",0.0,245.0,"","A' 37","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1299.0,1469.0,"XIII",31469.0,"",1469.0,"g","","",1200.0,"Greece",1767.0,"XIII","http://www.mountathos.gr/active.aspx","Athos","",0.0,174.0,"","A' 38","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e †",
1099.0,1470.0,"XI",31470.0,"",1470.0,"g","","",1000.0,"Greece",1768.0,"XI","http://www.mountathos.gr/active.aspx","Athos","",0.0,215.0,"","A' 39","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1299.0,1471.0,"XIII",31471.0,"",1471.0,"g","","",1200.0,"Greece",1769.0,"XIII","http://www.mountathos.gr/active.aspx","Athos","",0.0,396.0,"","A' 40","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1299.0,1472.0,"XIII",31472.0,"",1472.0,"g","","",1200.0,"Greece",1770.0,"XIII","http://www.mountathos.gr/active.aspx","Athos","",0.0,306.0,"","A' 41","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1099.0,1473.0,"XI",31473.0,"",1473.0,"g","","",1000.0,"Greece",1771.0,"XI","http://www.mountathos.gr/active.aspx","Athos","",0.0,227.0,"","A' 42","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1199.0,1474.0,"XII",31474.0,"",1474.0,,,,,"Greece",5665.0,"XII","http://www.mountathos.gr/active.aspx","Athos","",0.0,416.0,"","A' 44","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1199.0,1474.0,"XII",31474.0,"",1474.0,,,,,"USA",5666.0,"XII","http://thewalters.org/","Baltimore, MD","",0.0,2.0,"","W. 530.D-E","http://ntmss.info/instlogos/WaltersArtMuseum.jpg","Walters Art Museum","39.2965173,-76.61645039999999","e",
1199.0,1474.0,"XII",31474.0,"",1474.0,"g","","",1100.0,,,,,,,,,,,,,,,
1199.0,1475.0,"XII",31475.0,"",1475.0,"g","","",1100.0,"Greece",1772.0,"XII","http://www.mountathos.gr/active.aspx","Athos","",0.0,279.0,"","A' 45","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
1333.0,1476.0,1333.0,31476.0,"",1476.0,"g","","",1333.0,"Greece",1773.0,"XIV","http://www.mountathos.gr/active.aspx","Athos","",0.0,344.0,"","A' 46","http://ntmss.info/instlogos/Lavra.jpg","Great Lavra Monastery","","e",
